UA,Remaining_Industrial_Emissions_MtCO2_yr,Main_Terrestrial_Sink_MtCO2_yr,Main_Pressure_Ratio,Sink_Sensitivity_Min_MtCO2_yr,Sink_Sensitivity_Max_MtCO2_yr,Pressure_Ratio_Min,Pressure_Ratio_Max,Interpretation_Note
BTH,56.0,128.0192072819998,0.43743435996009256,127.1379537031251,128.4315791258907,0.43602983301410553,0.44046642539774883,Relative magnitude indicator only; it does not allocate regional ecosystem sinks to industry and does not represent a local offset obligation or industrial net-zero feasibility.
YRD,176.0,148.76532424656253,1.1830713971240967,134.528297442831,152.3328669423039,1.155364587647786,1.3082749380277616,Relative magnitude indicator only; it does not allocate regional ecosystem sinks to industry and does not represent a local offset obligation or industrial net-zero feasibility.
PRD,33.0,32.59474848704561,1.0124330308336467,15.095673049768374,40.23247412033093,0.8202329267969106,2.186056884724749,Relative magnitude indicator only; it does not allocate regional ecosystem sinks to industry and does not represent a local offset obligation or industrial net-zero feasibility.
CP,57.0,210.68645606890416,0.2705442061323504,151.4174889739064,212.57814799417173,0.2681366854393838,0.3764426446790618,Relative magnitude indicator only; it does not allocate regional ecosystem sinks to industry and does not represent a local offset obligation or industrial net-zero feasibility.
